,variable,value,date,times
442,circumplex.arousal,-2.0,2014-05-04,15:00:00.000
443,circumplex.arousal,-1.0,2014-05-04,19:00:00.000
444,circumplex.arousal,-1.0,2014-05-04,21:00:00.000
445,circumplex.arousal,-2.0,2014-05-05,09:00:00.000
446,circumplex.arousal,0.0,2014-05-05,13:00:00.000
447,circumplex.arousal,-1.0,2014-05-05,15:00:00.000
448,circumplex.valence,2.0,2014-03-20,15:00:00.000
449,circumplex.valence,1.0,2014-03-20,18:00:00.000
450,circumplex.valence,0.0,2014-03-20,21:00:00.000
451,circumplex.valence,1.0,2014-03-21,09:00:00.000
452,circumplex.valence,1.0,2014-03-21,12:00:00.000
453,circumplex.valence,1.0,2014-03-21,15:00:00.000
454,circumplex.valence,2.0,2014-03-21,18:00:00.000
455,circumplex.valence,1.0,2014-03-21,21:00:00.000
456,circumplex.valence,1.0,2014-03-22,09:00:00.000
457,circumplex.valence,1.0,2014-03-22,12:00:00.000
458,circumplex.valence,1.0,2014-03-22,15:00:00.000
459,circumplex.valence,1.0,2014-03-22,18:00:00.000
460,circumplex.valence,1.0,2014-03-22,21:00:00.000
461,circumplex.valence,1.0,2014-03-23,09:00:00.000
462,circumplex.valence,1.0,2014-03-23,12:00:00.000
463,circumplex.valence,1.0,2014-03-23,15:00:00.000
464,circumplex.valence,1.0,2014-03-23,18:00:00.000
465,circumplex.valence,1.0,2014-03-23,21:00:00.000
466,circumplex.valence,1.0,2014-03-24,09:00:00.000
467,circumplex.valence,1.0,2014-03-24,12:00:00.000
468,circumplex.valence,1.0,2014-03-24,15:00:00.000
469,circumplex.valence,1.0,2014-03-24,19:00:00.000
470,circumplex.valence,1.0,2014-03-24,21:00:00.000
471,circumplex.valence,1.0,2014-03-25,09:00:00.000
472,circumplex.valence,1.0,2014-03-25,12:00:00.000
473,circumplex.valence,1.0,2014-03-25,15:00:00.000
474,circumplex.valence,1.0,2014-03-25,18:00:00.000
475,circumplex.valence,1.0,2014-03-25,21:00:00.000
476,circumplex.valence,1.0,2014-03-26,09:00:00.000
477,circumplex.valence,1.0,2014-03-26,12:00:00.000
478,circumplex.valence,1.0,2014-03-26,16:00:00.000
479,circumplex.valence,1.0,2014-03-26,18:00:00.000
480,circumplex.valence,-1.0,2014-03-26,21:00:00.000
481,circumplex.valence,1.0,2014-03-27,12:00:00.000
482,circumplex.valence,1.0,2014-03-27,15:00:00.000
483,circumplex.valence,1.0,2014-03-27,18:00:00.000
484,circumplex.valence,1.0,2014-03-27,21:00:00.000
485,circumplex.valence,1.0,2014-03-28,09:00:00.000
486,circumplex.valence,1.0,2014-03-28,12:00:00.000
487,circumplex.valence,0.0,2014-03-28,15:00:00.000
488,circumplex.valence,1.0,2014-03-28,18:00:00.000
489,circumplex.valence,2.0,2014-03-28,21:00:00.000
490,circumplex.valence,1.0,2014-03-29,09:00:00.000
491,circumplex.valence,1.0,2014-03-29,12:00:00.000
492,circumplex.valence,1.0,2014-03-29,15:00:00.000
493,circumplex.valence,1.0,2014-03-29,20:00:00.000
494,circumplex.valence,1.0,2014-03-29,21:00:00.000
495,circumplex.valence,1.0,2014-03-30,09:00:00.000
496,circumplex.valence,1.0,2014-03-30,12:00:00.000
497,circumplex.valence,1.0,2014-03-30,15:00:00.000
498,circumplex.valence,1.0,2014-03-30,18:00:00.000
499,circumplex.valence,1.0,2014-03-30,21:00:00.000
500,circumplex.valence,1.0,2014-03-31,09:00:00.000
501,circumplex.valence,1.0,2014-03-31,12:00:00.000
